ENSG00000000005	ENSMMUG00000008212
ENSG00000009724	ENSMMUG00000007459
ENSG00000009765	ENSMMUG00000010802
ENSG00000009780	ENSMMUG00000012243
ENSG00000009790	ENSMMUG00000022062
ENSG00000009830	ENSMMUG00000001095
ENSG00000009844	ENSMMUG00000023012
ENSG00000009950	ENSMMUG00000030377
ENSG00000009954	ENSMMUG00000014270
ENSG00000010017	ENSMMUG00000020122
ENSG00000010030	ENSMMUG00000000687
ENSG00000010072	ENSMMUG00000005244
ENSG00000010165	ENSMMUG00000007266
ENSG00000010219	ENSMMUG00000020811
ENSG00000010244	ENSMMUG00000016875
ENSG00000010256	ENSMMUG00000014705
ENSG00000010270	ENSMMUG00000023659
ENSG00000010278	ENSMMUG00000004470
ENSG00000010292	ENSMMUG00000018677
ENSG00000010295	ENSMMUG00000018681
ENSG00000010310	ENSMMUG00000006936
ENSG00000010318	ENSMMUG00000016984
ENSG00000010319	ENSMMUG00000018872
ENSG00000010322	ENSMMUG00000005619
ENSG00000010327	ENSMMUG00000017351
ENSG00000010361	ENSMMUG00000011614
ENSG00000010404	ENSMMUG00000000671
ENSG00000010539	ENSMMUG00000017972
ENSG00000010610	ENSMMUG00000013202
ENSG00000010626	ENSMMUG00000001781
ENSG00000010671	ENSMMUG00000019573
ENSG00000010704	ENSMMUG00000023733
ENSG00000010803	ENSMMUG00000017104
ENSG00000010810	ENSMMUG00000017017
ENSG00000010818	ENSMMUG00000007998
ENSG00000010932	ENSMMUG00000005069
ENSG00000011007	ENSMMUG00000003173
ENSG00000011009	ENSMMUG00000019551
ENSG00000011021	ENSMMUG00000007829
ENSG00000011028	ENSMMUG00000002167
ENSG00000011083	ENSMMUG00000011559
ENSG00000011105	ENSMMUG00000009251
ENSG00000011114	ENSMMUG00000004027
ENSG00000011132	ENSMMUG00000009672
ENSG00000011143	ENSMMUG00000011971
ENSG00000011198	ENSMMUG00000001031
ENSG00000011201	ENSMMUG00000018191
ENSG00000011243	ENSMMUG00000017984
ENSG00000011258	ENSMMUG00000001942
ENSG00000011260	ENSMMUG00000007858
ENSG00000011275	ENSMMUG00000000182
ENSG00000011295	ENSMMUG00000008949
ENSG00000011304	ENSMMUG00000016450
ENSG00000011332	ENSMMUG00000003493
ENSG00000011347	ENSMMUG00000005122
ENSG00000011376	ENSMMUG00000018020
ENSG00000011405	ENSMMUG00000022548
ENSG00000011422	ENSMMUG00000004616
ENSG00000011426	ENSMMUG00000021186
ENSG00000011451	ENSMMUG00000017989
ENSG00000011451	ENSMMUG00000028863
ENSG00000011454	ENSMMUG00000000670
ENSG00000011465	ENSMMUG00000016997
ENSG00000011478	ENSMMUG00000006940
ENSG00000011485	ENSMMUG00000000217
ENSG00000011523	ENSMMUG00000017019
ENSG00000011566	ENSMMUG00000013901
ENSG00000011590	ENSMMUG00000002375
ENSG00000011600	ENSMMUG00000008004
ENSG00000011638	ENSMMUG00000016758
ENSG00000011677	ENSMMUG00000001540
ENSG00000012048	ENSMMUG00000001329
ENSG00000012061	ENSMMUG00000000718
ENSG00000012124	ENSMMUG00000017621
ENSG00000012171	ENSMMUG00000020117
ENSG00000012211	ENSMMUG00000023024
ENSG00000012223	ENSMMUG00000014261
ENSG00000012232	ENSMMUG00000017700
ENSG00000012504	ENSMMUG00000003571
ENSG00000012660	ENSMMUG00000006422
ENSG00000012779	ENSMMUG00000013434
ENSG00000012817	ENSMMUG00000045017
ENSG00000012822	ENSMMUG00000009457
ENSG00000012963	ENSMMUG00000004025
ENSG00000012983	ENSMMUG00000020550
ENSG00000013016	ENSMMUG00000003476
ENSG00000013275	ENSMMUG00000017188
ENSG00000013288	ENSMMUG00000005298
ENSG00000013293	ENSMMUG00000013987
ENSG00000013297	ENSMMUG00000059260
ENSG00000013306	ENSMMUG00000017944
ENSG00000013364	ENSMMUG00000016422
ENSG00000013374	ENSMMUG00000006244
ENSG00000013375	ENSMMUG00000012589
ENSG00000013392	ENSMMUG00000012590
ENSG00000013441	ENSMMUG00000006640
ENSG00000013503	ENSMMUG00000005208
ENSG00000013523	ENSMMUG00000018551
ENSG00000013561	ENSMMUG00000009768
ENSG00000013563	ENSMMUG00000050873
ENSG00000013573	ENSMMUG00000022864
ENSG00000013583	ENSMMUG00000017633
ENSG00000013588	ENSMMUG00000057981
ENSG00000013619	ENSMMUG00000022263
ENSG00000013725	ENSMMUG00000044417
ENSG00000013810	ENSMMUG00000011191
ENSG00000014123	ENSMMUG00000012616
ENSG00000014138	ENSMMUG00000022031
ENSG00000014164	ENSMMUG00000058733
ENSG00000014216	ENSMMUG00000013475
ENSG00000014257	ENSMMUG00000016004
ENSG00000014641	ENSMMUG00000006163
ENSG00000014824	ENSMMUG00000022782
ENSG00000014914	ENSMMUG00000007246
ENSG00000014919	ENSMMUG00000023762
ENSG00000015133	ENSMMUG00000020687
ENSG00000015171	ENSMMUG00000021279
ENSG00000015285	ENSMMUG00000019767
ENSG00000015413	ENSMMUG00000014910
ENSG00000015475	ENSMMUG00000020799
ENSG00000015479	ENSMMUG00000016741
ENSG00000015520	ENSMMUG00000000782
ENSG00000015592	ENSMMUG00000018670
ENSG00000016082	ENSMMUG00000003984
ENSG00000016391	ENSMMUG00000019266
ENSG00000016402	ENSMMUG00000013566
ENSG00000016490	ENSMMUG00000006836
ENSG00000016602	ENSMMUG00000010306
ENSG00000016864	ENSMMUG00000012526
ENSG00000017260	ENSMMUG00000005137
ENSG00000017427	ENSMMUG00000002235
ENSG00000017483	ENSMMUG00000016975
ENSG00000017797	ENSMMUG00000058728
ENSG00000018236	ENSMMUG00000021163
ENSG00000018280	ENSMMUG00000013359
ENSG00000018408	ENSMMUG00000018982
ENSG00000018510	ENSMMUG00000008502
ENSG00000018699	ENSMMUG00000009372
ENSG00000018869	ENSMMUG00000000362
ENSG00000019102	ENSMMUG00000057600
ENSG00000019144	ENSMMUG00000046655
ENSG00000019169	ENSMMUG00000002610
ENSG00000019186	ENSMMUG00000014860
ENSG00000019485	ENSMMUG00000015106
ENSG00000019505	ENSMMUG00000011449
ENSG00000019549	ENSMMUG00000016195
ENSG00000019582	ENSMMUG00000009113
ENSG00000019991	ENSMMUG00000018652
ENSG00000019995	ENSMMUG00000022028
ENSG00000020129	ENSMMUG00000019812
ENSG00000020181	ENSMMUG00000003204
ENSG00000020256	ENSMMUG00000018846
ENSG00000020426	ENSMMUG00000001642
ENSG00000020577	ENSMMUG00000010315
ENSG00000020633	ENSMMUG00000002420
ENSG00000020922	ENSMMUG00000004112
ENSG00000021300	ENSMMUG00000004791
ENSG00000021355	ENSMMUG00000042368
ENSG00000021461	ENSMMUG00000022490
ENSG00000021488	ENSMMUG00000028800
ENSG00000021574	ENSMMUG00000021691
ENSG00000021645	ENSMMUG00000013842
ENSG00000021762	ENSMMUG00000000513
ENSG00000021776	ENSMMUG00000002337
ENSG00000021826	ENSMMUG00000010508
ENSG00000021852	ENSMMUG00000022993
ENSG00000022267	ENSMMUG00000007922
ENSG00000022277	ENSMMUG00000000074
ENSG00000022355	ENSMMUG00000007296
ENSG00000022567	ENSMMUG00000013579
ENSG00000022840	ENSMMUG00000004223
ENSG00000022976	ENSMMUG00000010493
ENSG00000023041	ENSMMUG00000001157
ENSG00000023171	ENSMMUG00000015522
ENSG00000023191	ENSMMUG00000010783
ENSG00000023191	ENSMMUG00000056711
ENSG00000023191	ENSMMUG00000062863
ENSG00000023228	ENSMMUG00000016788
ENSG00000023287	ENSMMUG00000009990
ENSG00000023318	ENSMMUG00000011415
ENSG00000023330	ENSMMUG00000005596
ENSG00000023445	ENSMMUG00000058594
ENSG00000023516	ENSMMUG00000023083
ENSG00000023572	ENSMMUG00000022645
ENSG00000023608	ENSMMUG00000017303
ENSG00000023697	ENSMMUG00000013309
ENSG00000023734	ENSMMUG00000013307
ENSG00000023839	ENSMMUG00000023764
ENSG00000023892	ENSMMUG00000023560
ENSG00000023902	ENSMMUG00000013681
ENSG00000023909	ENSMMUG00000013857
ENSG00000024048	ENSMMUG00000005675
ENSG00000024422	ENSMMUG00000040121
ENSG00000024526	ENSMMUG00000017766
ENSG00000024862	ENSMMUG00000017643
ENSG00000025039	ENSMMUG00000015262
ENSG00000025156	ENSMMUG00000007910
ENSG00000025293	ENSMMUG00000010633
ENSG00000025423	ENSMMUG00000057617
ENSG00000025434	ENSMMUG00000015598
ENSG00000025708	ENSMMUG00000001764
ENSG00000025770	ENSMMUG00000001763
ENSG00000025772	ENSMMUG00000013211
ENSG00000025796	ENSMMUG00000016598
ENSG00000025800	ENSMMUG00000008455
ENSG00000026025	ENSMMUG00000003193
ENSG00000026297	ENSMMUG00000005673
ENSG00000026508	ENSMMUG00000004327
ENSG00000026559	ENSMMUG00000000683
ENSG00000026652	ENSMMUG00000006147
ENSG00000026751	ENSMMUG00000017327
ENSG00000026950	ENSMMUG00000065003
ENSG00000027001	ENSMMUG00000006942
ENSG00000027075	ENSMMUG00000002260
ENSG00000027644	ENSMMUG00000055304
ENSG00000027697	ENSMMUG00000062426
ENSG00000027847	ENSMMUG00000029662
ENSG00000027869	ENSMMUG00000010917
ENSG00000028116	ENSMMUG00000002025
ENSG00000028137	ENSMMUG00000021447
ENSG00000028203	ENSMMUG00000018903
ENSG00000028277	ENSMMUG00000013376
ENSG00000028310	ENSMMUG00000014738
ENSG00000028528	ENSMMUG00000014005
ENSG00000028839	ENSMMUG00000022920
ENSG00000029153	ENSMMUG00000023249
ENSG00000029363	ENSMMUG00000003710
ENSG00000029364	ENSMMUG00000021572
ENSG00000029534	ENSMMUG00000014726
ENSG00000029559	ENSMMUG00000011111
ENSG00000029639	ENSMMUG00000011171
ENSG00000029725	ENSMMUG00000010465
ENSG00000029993	ENSMMUG00000045342
ENSG00000030066	ENSMMUG00000010869
ENSG00000030110	ENSMMUG00000059770
ENSG00000030304	ENSMMUG00000007065
ENSG00000030419	ENSMMUG00000000381
ENSG00000030582	ENSMMUG00000023751
ENSG00000031003	ENSMMUG00000008009
ENSG00000031081	ENSMMUG00000012009
ENSG00000031691	ENSMMUG00000048193
ENSG00000031698	ENSMMUG00000021837
ENSG00000031823	ENSMMUG00000011964
ENSG00000032219	ENSMMUG00000003514
ENSG00000032389	ENSMMUG00000022879
ENSG00000032444	ENSMMUG00000011392
ENSG00000032742	ENSMMUG00000013367
ENSG00000033011	ENSMMUG00000007494
ENSG00000033030	ENSMMUG00000013643
ENSG00000033050	ENSMMUG00000006679
ENSG00000033100	ENSMMUG00000006682
ENSG00000033122	ENSMMUG00000021917
ENSG00000033170	ENSMMUG00000013848
ENSG00000033178	ENSMMUG00000003776
ENSG00000033327	ENSMMUG00000017477
ENSG00000033627	ENSMMUG00000022644
ENSG00000033800	ENSMMUG00000011699
ENSG00000033867	ENSMMUG00000019327
ENSG00000034053	ENSMMUG00000019339
ENSG00000034152	ENSMMUG00000010904
ENSG00000034239	ENSMMUG00000053238
ENSG00000034510	ENSMMUG00000056004
ENSG00000034533	ENSMMUG00000005142
ENSG00000034677	ENSMMUG00000004387
ENSG00000034693	ENSMMUG00000005365
ENSG00000034713	ENSMMUG00000051441
ENSG00000034971	ENSMMUG00000013649
ENSG00000035115	ENSMMUG00000017096
ENSG00000035141	ENSMMUG00000048757
ENSG00000035141	ENSMMUG00000052876
ENSG00000035403	ENSMMUG00000020823
ENSG00000035499	ENSMMUG00000018379
ENSG00000035664	ENSMMUG00000018177
ENSG00000035681	ENSMMUG00000017297
ENSG00000035681	ENSMMUG00000023682
ENSG00000035687	ENSMMUG00000000016
ENSG00000035720	ENSMMUG00000009392
ENSG00000035862	ENSMMUG00000005355
ENSG00000035928	ENSMMUG00000009324
ENSG00000036054	ENSMMUG00000020026
ENSG00000036257	ENSMMUG00000022259
ENSG00000036448	ENSMMUG00000023408
ENSG00000036473	ENSMMUG00000013493
ENSG00000036530	ENSMMUG00000000100
ENSG00000036549	ENSMMUG00000063855
ENSG00000036565	ENSMMUG00000019999
ENSG00000036672	ENSMMUG00000008921
ENSG00000036828	ENSMMUG00000007886
ENSG00000037280	ENSMMUG00000018693
ENSG00000037474	ENSMMUG00000002561
ENSG00000037637	ENSMMUG00000012733
ENSG00000037749	ENSMMUG00000011989
ENSG00000037757	ENSMMUG00000018068
ENSG00000037897	ENSMMUG00000022148
ENSG00000037965	ENSMMUG00000063741
ENSG00000038002	ENSMMUG00000007393
ENSG00000038210	ENSMMUG00000003629
ENSG00000038219	ENSMMUG00000022027
ENSG00000038274	ENSMMUG00000013980
ENSG00000038295	ENSMMUG00000015799
ENSG00000038358	ENSMMUG00000011888
ENSG00000038382	ENSMMUG00000015489
ENSG00000038427	ENSMMUG00000011513
ENSG00000038532	ENSMMUG00000006515
ENSG00000038945	ENSMMUG00000002296
ENSG00000039068	ENSMMUG00000011850
ENSG00000039123	ENSMMUG00000010379
ENSG00000039139	ENSMMUG00000011026
ENSG00000039319	ENSMMUG00000023177
ENSG00000039523	ENSMMUG00000017105
ENSG00000039537	ENSMMUG00000021034
ENSG00000039560	ENSMMUG00000013739
ENSG00000039600	ENSMMUG00000021550
ENSG00000039650	ENSMMUG00000011622
ENSG00000039987	ENSMMUG00000063236
ENSG00000040199	ENSMMUG00000012007
ENSG00000040275	ENSMMUG00000009365
ENSG00000040341	ENSMMUG00000021588
ENSG00000040487	ENSMMUG00000006892
ENSG00000040531	ENSMMUG00000023389
ENSG00000040608	ENSMMUG00000011547
ENSG00000040633	ENSMMUG00000010543
ENSG00000040731	ENSMMUG00000012293
ENSG00000040933	ENSMMUG00000022903
ENSG00000041353	ENSMMUG00000040524
ENSG00000041357	ENSMMUG00000010740
ENSG00000041515	ENSMMUG00000021231
ENSG00000041802	ENSMMUG00000010708
ENSG00000041880	ENSMMUG00000022203
ENSG00000041982	ENSMMUG00000003356
ENSG00000041988	ENSMMUG00000002047
ENSG00000042062	ENSMMUG00000007883
ENSG00000042088	ENSMMUG00000004460
ENSG00000042286	ENSMMUG00000006392
ENSG00000042317	ENSMMUG00000021011
ENSG00000042429	ENSMMUG00000013601
ENSG00000042445	ENSMMUG00000019416
ENSG00000042493	ENSMMUG00000002675
ENSG00000042753	ENSMMUG00000000833
ENSG00000042781	ENSMMUG00000022640
ENSG00000042813	ENSMMUG00000058084
ENSG00000042832	ENSMMUG00000041378
ENSG00000042980	ENSMMUG00000005317
ENSG00000043039	ENSMMUG00000052765
ENSG00000043093	ENSMMUG00000010552
ENSG00000043143	ENSMMUG00000000358
ENSG00000043355	ENSMMUG00000014822
ENSG00000043462	ENSMMUG00000014126
ENSG00000043514	ENSMMUG00000016220
ENSG00000043591	ENSMMUG00000044756
ENSG00000044012	ENSMMUG00000018965
ENSG00000044090	ENSMMUG00000002451
ENSG00000044115	ENSMMUG00000017985
ENSG00000044446	ENSMMUG00000020513
ENSG00000044459	ENSMMUG00000023448
ENSG00000044524	ENSMMUG00000008242
ENSG00000044574	ENSMMUG00000005217
ENSG00000046604	ENSMMUG00000021095
ENSG00000046647	ENSMMUG00000013595
ENSG00000046651	ENSMMUG00000019410
ENSG00000046653	ENSMMUG00000019415
ENSG00000046774	ENSMMUG00000016642
ENSG00000046889	ENSMMUG00000016023
ENSG00000047056	ENSMMUG00000017119
ENSG00000047188	ENSMMUG00000001376
ENSG00000047230	ENSMMUG00000004797
ENSG00000047249	ENSMMUG00000004064
ENSG00000047315	ENSMMUG00000014008
ENSG00000047346	ENSMMUG00000001423
ENSG00000047365	ENSMMUG00000006871
ENSG00000047410	ENSMMUG00000009081
ENSG00000047457	ENSMMUG00000005529
ENSG00000047578	ENSMMUG00000015570
ENSG00000047579	ENSMMUG00000015363
ENSG00000047597	ENSMMUG00000061198
ENSG00000047621	ENSMMUG00000015188
ENSG00000047634	ENSMMUG00000012899
ENSG00000047644	ENSMMUG00000016290
ENSG00000047648	ENSMMUG00000003896
ENSG00000047662	ENSMMUG00000018067
ENSG00000047849	ENSMMUG00000003823
ENSG00000047936	ENSMMUG00000023738
ENSG00000048028	ENSMMUG00000023773
ENSG00000048052	ENSMMUG00000011170
ENSG00000048140	ENSMMUG00000000144
ENSG00000048342	ENSMMUG00000009383
ENSG00000048392	ENSMMUG00000020765
ENSG00000048405	ENSMMUG00000002428
ENSG00000048462	ENSMMUG00000021520
ENSG00000048471	ENSMMUG00000022897
ENSG00000048540	ENSMMUG00000040307
ENSG00000048544	ENSMMUG00000056218
ENSG00000048545	ENSMMUG00000000872
ENSG00000048649	ENSMMUG00000017355
ENSG00000048707	ENSMMUG00000021449
ENSG00000048740	ENSMMUG00000037449
ENSG00000048828	ENSMMUG00000009493
ENSG00000048991	ENSMMUG00000009844
ENSG00000049089	ENSMMUG00000018664
ENSG00000049130	ENSMMUG00000051340
ENSG00000049167	ENSMMUG00000021812
ENSG00000049192	ENSMMUG00000018100
ENSG00000049239	ENSMMUG00000016711
ENSG00000049245	ENSMMUG00000038004
ENSG00000049246	ENSMMUG00000018562
ENSG00000049247	ENSMMUG00000000625
ENSG00000049249	ENSMMUG00000016546
ENSG00000049283	ENSMMUG00000017249
ENSG00000049323	ENSMMUG00000021436
ENSG00000049449	ENSMMUG00000018360
ENSG00000049540	ENSMMUG00000044533
ENSG00000049541	ENSMMUG00000003843
ENSG00000049618	ENSMMUG00000002270
ENSG00000049656	ENSMMUG00000005193
ENSG00000049759	ENSMMUG00000006616
ENSG00000049768	ENSMMUG00000008624
ENSG00000049769	ENSMMUG00000052252
ENSG00000049860	ENSMMUG00000019997
ENSG00000049883	ENSMMUG00000017908
ENSG00000050030	ENSMMUG00000011440
ENSG00000050130	ENSMMUG00000008715
ENSG00000050165	ENSMMUG00000022862
ENSG00000050327	ENSMMUG00000010134
ENSG00000050344	ENSMMUG00000003615
ENSG00000050393	ENSMMUG00000009922
ENSG00000050405	ENSMMUG00000016471
ENSG00000050426	ENSMMUG00000012453
ENSG00000050438	ENSMMUG00000006607
ENSG00000050555	ENSMMUG00000002267
ENSG00000050628	ENSMMUG00000017309
ENSG00000050730	ENSMMUG00000004415
ENSG00000050748	ENSMMUG00000001728
ENSG00000050767	ENSMMUG00000004000
ENSG00000050820	ENSMMUG00000002630
ENSG00000051009	ENSMMUG00000016882
ENSG00000051108	ENSMMUG00000019189
ENSG00000051128	ENSMMUG00000023294
ENSG00000051180	ENSMMUG00000004579
ENSG00000051341	ENSMMUG00000007973
ENSG00000051382	ENSMMUG00000008666
ENSG00000051523	ENSMMUG00000053929
ENSG00000051596	ENSMMUG00000018737
