ENSG00000000003	ENSPTRG00000022087
ENSG00000005073	ENSPTRG00000047456
ENSG00000005100	ENSPTRG00000008632
ENSG00000005102	ENSPTRG00000009248
ENSG00000005108	ENSPTRG00000018936
ENSG00000005156	ENSPTRG00000009008
ENSG00000005175	ENSPTRG00000004861
ENSG00000005187	ENSPTRG00000007849
ENSG00000005189	ENSPTRG00000007851
ENSG00000005194	ENSPTRG00000008155
ENSG00000005206	ENSPTRG00000010234
ENSG00000005238	ENSPTRG00000020904
ENSG00000005243	ENSPTRG00000009346
ENSG00000005249	ENSPTRG00000019574
ENSG00000005302	ENSPTRG00000021662
ENSG00000005339	ENSPTRG00000007710
ENSG00000005379	ENSPTRG00000009450
ENSG00000005381	ENSPTRG00000009449
ENSG00000005421	ENSPTRG00000019417
ENSG00000005436	ENSPTRG00000012110
ENSG00000005448	ENSPTRG00000012085
ENSG00000005469	ENSPTRG00000019367
ENSG00000005471	ENSPTRG00000024082
ENSG00000005483	ENSPTRG00000019563
ENSG00000005486	ENSPTRG00000019312
ENSG00000005486	ENSPTRG00000048656
ENSG00000005513	ENSPTRG00000007570
ENSG00000005700	ENSPTRG00000018375
ENSG00000005801	ENSPTRG00000003194
ENSG00000005810	ENSPTRG00000005943
ENSG00000005812	ENSPTRG00000022568
ENSG00000005844	ENSPTRG00000008004
ENSG00000005882	ENSPTRG00000009388
ENSG00000005884	ENSPTRG00000009387
ENSG00000005889	ENSPTRG00000021747
ENSG00000005893	ENSPTRG00000048329
ENSG00000005961	ENSPTRG00000009277
ENSG00000005981	ENSPTRG00000019420
ENSG00000006007	ENSPTRG00000007833
ENSG00000006015	ENSPTRG00000010715
ENSG00000006016	ENSPTRG00000010716
ENSG00000006025	ENSPTRG00000009336
ENSG00000006042	ENSPTRG00000008993
ENSG00000006047	ENSPTRG00000008673
ENSG00000006047	ENSPTRG00000051288
ENSG00000006059	ENSPTRG00000009158
ENSG00000006062	ENSPTRG00000034405
ENSG00000006071	ENSPTRG00000003403
ENSG00000006116	ENSPTRG00000007896
ENSG00000006118	ENSPTRG00000003726
ENSG00000006125	ENSPTRG00000009021
ENSG00000006128	ENSPTRG00000019428
ENSG00000006194	ENSPTRG00000007692
ENSG00000006210	ENSPTRG00000008153
ENSG00000006282	ENSPTRG00000009404
ENSG00000006283	ENSPTRG00000009405
ENSG00000006327	ENSPTRG00000044814
ENSG00000006377	ENSPTRG00000019425
ENSG00000006432	ENSPTRG00000006499
ENSG00000006451	ENSPTRG00000019108
ENSG00000006453	ENSPTRG00000019438
ENSG00000006453	ENSPTRG00000043653
ENSG00000006459	ENSPTRG00000019762
ENSG00000006468	ENSPTRG00000050597
ENSG00000006530	ENSPTRG00000019775
ENSG00000006530	ENSPTRG00000050750
ENSG00000006534	ENSPTRG00000051435
ENSG00000006555	ENSPTRG00000000777
ENSG00000006576	ENSPTRG00000019340
ENSG00000006606	ENSPTRG00000019310
ENSG00000006606	ENSPTRG00000043122
ENSG00000006607	ENSPTRG00000013123
ENSG00000006611	ENSPTRG00000003404
ENSG00000006625	ENSPTRG00000019041
ENSG00000006634	ENSPTRG00000019372
ENSG00000006634	ENSPTRG00000047340
ENSG00000006638	ENSPTRG00000050832
ENSG00000006652	ENSPTRG00000019601
ENSG00000006695	ENSPTRG00000008790
ENSG00000006704	ENSPTRG00000019292
ENSG00000006704	ENSPTRG00000045395
ENSG00000006712	ENSPTRG00000010964
ENSG00000006715	ENSPTRG00000019104
ENSG00000006740	ENSPTRG00000008787
ENSG00000006744	ENSPTRG00000008788
ENSG00000006747	ENSPTRG00000018941
ENSG00000006747	ENSPTRG00000051261
ENSG00000006756	ENSPTRG00000048052
ENSG00000006757	ENSPTRG00000021641
ENSG00000006788	ENSPTRG00000008766
ENSG00000006831	ENSPTRG00000004520
ENSG00000006837	ENSPTRG00000017239
ENSG00000007001	ENSPTRG00000012556
ENSG00000007038	ENSPTRG00000007666
ENSG00000007047	ENSPTRG00000011145
ENSG00000007062	ENSPTRG00000015932
ENSG00000007080	ENSPTRG00000010688
ENSG00000007168	ENSPTRG00000008551
ENSG00000007171	ENSPTRG00000008903
ENSG00000007174	ENSPTRG00000008779
ENSG00000007202	ENSPTRG00000008926
ENSG00000007216	ENSPTRG00000008919
ENSG00000007237	ENSPTRG00000008763
ENSG00000007255	ENSPTRG00000043883
ENSG00000007264	ENSPTRG00000010278
ENSG00000007306	ENSPTRG00000011030
ENSG00000007312	ENSPTRG00000009531
ENSG00000007314	ENSPTRG00000009532
ENSG00000007341	ENSPTRG00000001109
ENSG00000007350	ENSPTRG00000022429
ENSG00000007372	ENSPTRG00000003474
ENSG00000007376	ENSPTRG00000007565
ENSG00000007384	ENSPTRG00000007527
ENSG00000007392	ENSPTRG00000007533
ENSG00000007402	ENSPTRG00000014964
ENSG00000007516	ENSPTRG00000007588
ENSG00000007520	ENSPTRG00000007589
ENSG00000007541	ENSPTRG00000007545
ENSG00000007545	ENSPTRG00000007602
ENSG00000007866	ENSPTRG00000018086
ENSG00000007908	ENSPTRG00000001662
ENSG00000007923	ENSPTRG00000000094
ENSG00000007933	ENSPTRG00000001670
ENSG00000007944	ENSPTRG00000023743
ENSG00000007952	ENSPTRG00000048908
ENSG00000007968	ENSPTRG00000000330
ENSG00000008018	ENSPTRG00000018826
ENSG00000008056	ENSPTRG00000043680
ENSG00000008083	ENSPTRG00000017743
ENSG00000008086	ENSPTRG00000021711
ENSG00000008118	ENSPTRG00000001935
ENSG00000008130	ENSPTRG00000000038
ENSG00000008196	ENSPTRG00000018269
ENSG00000008197	ENSPTRG00000018268
ENSG00000008226	ENSPTRG00000014752
ENSG00000008256	ENSPTRG00000018907
ENSG00000008256	ENSPTRG00000043290
ENSG00000008277	ENSPTRG00000019374
ENSG00000008277	ENSPTRG00000048692
ENSG00000008282	ENSPTRG00000019570
ENSG00000008282	ENSPTRG00000043312
ENSG00000008283	ENSPTRG00000009512
ENSG00000008294	ENSPTRG00000009414
ENSG00000008300	ENSPTRG00000014895
ENSG00000008311	ENSPTRG00000023614
ENSG00000008323	ENSPTRG00000004569
ENSG00000008324	ENSPTRG00000052353
ENSG00000008382	ENSPTRG00000010307
ENSG00000008394	ENSPTRG00000004737
ENSG00000008394	ENSPTRG00000049907
ENSG00000008405	ENSPTRG00000005396
ENSG00000008438	ENSPTRG00000011175
ENSG00000008441	ENSPTRG00000010555
ENSG00000008513	ENSPTRG00000044747
ENSG00000008516	ENSPTRG00000007682
ENSG00000008516	ENSPTRG00000045261
ENSG00000008517	ENSPTRG00000007683
ENSG00000008517	ENSPTRG00000045333
ENSG00000008710	ENSPTRG00000050693
ENSG00000008735	ENSPTRG00000014549
ENSG00000008838	ENSPTRG00000009111
ENSG00000008853	ENSPTRG00000020069
ENSG00000008869	ENSPTRG00000011831
ENSG00000008952	ENSPTRG00000015611
ENSG00000008988	ENSPTRG00000020264
ENSG00000009307	ENSPTRG00000033721
ENSG00000009335	ENSPTRG00000019919
ENSG00000009413	ENSPTRG00000018508
ENSG00000009694	ENSPTRG00000022250
ENSG00000009709	ENSPTRG00000000253
ENSG00000009724	ENSPTRG00000000137
ENSG00000009724	ENSPTRG00000045615
ENSG00000009765	ENSPTRG00000051321
ENSG00000009780	ENSPTRG00000000414
ENSG00000009790	ENSPTRG00000001939
ENSG00000009830	ENSPTRG00000006576
ENSG00000009844	ENSPTRG00000018662
ENSG00000009950	ENSPTRG00000019274
ENSG00000009950	ENSPTRG00000048666
ENSG00000009954	ENSPTRG00000019271
ENSG00000010017	ENSPTRG00000017739
ENSG00000010030	ENSPTRG00000018102
ENSG00000010072	ENSPTRG00000002109
ENSG00000010165	ENSPTRG00000001682
ENSG00000010219	ENSPTRG00000004555
ENSG00000010244	ENSPTRG00000043246
ENSG00000010256	ENSPTRG00000014892
ENSG00000010270	ENSPTRG00000019094
ENSG00000010278	ENSPTRG00000004567
ENSG00000010282	ENSPTRG00000014800
ENSG00000010292	ENSPTRG00000004576
ENSG00000010295	ENSPTRG00000004578
ENSG00000010310	ENSPTRG00000050104
ENSG00000010318	ENSPTRG00000014998
ENSG00000010319	ENSPTRG00000014999
ENSG00000010322	ENSPTRG00000015001
ENSG00000010327	ENSPTRG00000015002
ENSG00000010361	ENSPTRG00000011318
ENSG00000010379	ENSPTRG00000004506
ENSG00000010404	ENSPTRG00000051038
ENSG00000010438	ENSPTRG00000049562
ENSG00000010539	ENSPTRG00000007689
ENSG00000010539	ENSPTRG00000048527
ENSG00000010610	ENSPTRG00000004590
ENSG00000010626	ENSPTRG00000004597
ENSG00000010671	ENSPTRG00000022104
ENSG00000010671	ENSPTRG00000049477
ENSG00000010704	ENSPTRG00000017805
ENSG00000010803	ENSPTRG00000000601
ENSG00000010810	ENSPTRG00000018511
ENSG00000010818	ENSPTRG00000018665
ENSG00000010932	ENSPTRG00000001674
ENSG00000011007	ENSPTRG00000000335
ENSG00000011009	ENSPTRG00000049841
ENSG00000011021	ENSPTRG00000000154
ENSG00000011028	ENSPTRG00000009508
ENSG00000011083	ENSPTRG00000017413
ENSG00000011105	ENSPTRG00000045040
ENSG00000011114	ENSPTRG00000006663
ENSG00000011132	ENSPTRG00000010275
ENSG00000011143	ENSPTRG00000009447
ENSG00000011198	ENSPTRG00000014812
ENSG00000011201	ENSPTRG00000021645
ENSG00000011243	ENSPTRG00000010621
ENSG00000011258	ENSPTRG00000009417
ENSG00000011260	ENSPTRG00000009418
ENSG00000011260	ENSPTRG00000046547
ENSG00000011275	ENSPTRG00000018894
ENSG00000011275	ENSPTRG00000048429
ENSG00000011295	ENSPTRG00000008807
ENSG00000011304	ENSPTRG00000010165
ENSG00000011332	ENSPTRG00000023510
ENSG00000011347	ENSPTRG00000003745
ENSG00000011376	ENSPTRG00000014833
ENSG00000011405	ENSPTRG00000003399
ENSG00000011422	ENSPTRG00000011091
ENSG00000011426	ENSPTRG00000019084
ENSG00000011451	ENSPTRG00000010622
ENSG00000011454	ENSPTRG00000021342
ENSG00000011465	ENSPTRG00000005290
ENSG00000011478	ENSPTRG00000011163
ENSG00000011485	ENSPTRG00000011181
ENSG00000011523	ENSPTRG00000011988
ENSG00000011566	ENSPTRG00000011858
ENSG00000011590	ENSPTRG00000010857
ENSG00000011600	ENSPTRG00000010876
ENSG00000011638	ENSPTRG00000007855
ENSG00000011677	ENSPTRG00000022383
ENSG00000011677	ENSPTRG00000046018
ENSG00000012048	ENSPTRG00000009236
ENSG00000012061	ENSPTRG00000011152
ENSG00000012124	ENSPTRG00000010840
ENSG00000012171	ENSPTRG00000048140
ENSG00000012174	ENSPTRG00000021735
ENSG00000012211	ENSPTRG00000045748
ENSG00000012223	ENSPTRG00000014850
ENSG00000012232	ENSPTRG00000020124
ENSG00000012504	ENSPTRG00000005345
ENSG00000012660	ENSPTRG00000018289
ENSG00000012779	ENSPTRG00000002458
ENSG00000012817	ENSPTRG00000022503
ENSG00000012822	ENSPTRG00000005024
ENSG00000012963	ENSPTRG00000006662
ENSG00000012983	ENSPTRG00000006332
ENSG00000013016	ENSPTRG00000011805
ENSG00000013275	ENSPTRG00000010986
ENSG00000013288	ENSPTRG00000048091
ENSG00000013293	ENSPTRG00000015619
ENSG00000013297	ENSPTRG00000015617
ENSG00000013306	ENSPTRG00000009272
ENSG00000013364	ENSPTRG00000007971
ENSG00000013374	ENSPTRG00000019883
ENSG00000013374	ENSPTRG00000045827
ENSG00000013375	ENSPTRG00000018379
ENSG00000013392	ENSPTRG00000049322
ENSG00000013441	ENSPTRG00000012792
ENSG00000013503	ENSPTRG00000005390
ENSG00000013523	ENSPTRG00000006569
ENSG00000013561	ENSPTRG00000017356
ENSG00000013563	ENSPTRG00000042704
ENSG00000013573	ENSPTRG00000004804
ENSG00000013583	ENSPTRG00000004712
ENSG00000013588	ENSPTRG00000004710
ENSG00000013619	ENSPTRG00000044895
ENSG00000013725	ENSPTRG00000003728
ENSG00000013810	ENSPTRG00000015834
ENSG00000014123	ENSPTRG00000018432
ENSG00000014138	ENSPTRG00000003870
ENSG00000014164	ENSPTRG00000020655
ENSG00000014216	ENSPTRG00000003869
ENSG00000014257	ENSPTRG00000015399
ENSG00000014641	ENSPTRG00000011974
ENSG00000014824	ENSPTRG00000016014
ENSG00000014914	ENSPTRG00000001244
ENSG00000014919	ENSPTRG00000002835
ENSG00000015133	ENSPTRG00000006634
ENSG00000015153	ENSPTRG00000004837
ENSG00000015171	ENSPTRG00000002229
ENSG00000015285	ENSPTRG00000045037
ENSG00000015285	ENSPTRG00000050143
ENSG00000015413	ENSPTRG00000008482
ENSG00000015475	ENSPTRG00000014041
ENSG00000015479	ENSPTRG00000017294
ENSG00000015520	ENSPTRG00000019146
ENSG00000015532	ENSPTRG00000009395
ENSG00000015568	ENSPTRG00000048111
ENSG00000015592	ENSPTRG00000020102
ENSG00000015676	ENSPTRG00000019144
ENSG00000016082	ENSPTRG00000016858
ENSG00000016391	ENSPTRG00000015027
ENSG00000016402	ENSPTRG00000018640
ENSG00000016490	ENSPTRG00000000922
ENSG00000016602	ENSPTRG00000000923
ENSG00000016864	ENSPTRG00000015010
ENSG00000017260	ENSPTRG00000015390
ENSG00000017427	ENSPTRG00000024078
ENSG00000017483	ENSPTRG00000021860
ENSG00000017797	ENSPTRG00000009859
ENSG00000018189	ENSPTRG00000016135
ENSG00000018236	ENSPTRG00000004834
ENSG00000018280	ENSPTRG00000012917
ENSG00000018408	ENSPTRG00000015519
ENSG00000018510	ENSPTRG00000012680
ENSG00000018610	ENSPTRG00000022224
ENSG00000018625	ENSPTRG00000048477
ENSG00000018699	ENSPTRG00000011820
ENSG00000018869	ENSPTRG00000011539
ENSG00000019102	ENSPTRG00000004428
ENSG00000019144	ENSPTRG00000004351
ENSG00000019169	ENSPTRG00000012397
ENSG00000019186	ENSPTRG00000013640
ENSG00000019485	ENSPTRG00000003533
ENSG00000019505	ENSPTRG00000003534
ENSG00000019549	ENSPTRG00000020235
ENSG00000019582	ENSPTRG00000017417
ENSG00000019991	ENSPTRG00000019349
ENSG00000019995	ENSPTRG00000003034
ENSG00000020129	ENSPTRG00000000522
ENSG00000020181	ENSPTRG00000020161
ENSG00000020256	ENSPTRG00000013632
ENSG00000020426	ENSPTRG00000006412
ENSG00000020577	ENSPTRG00000006364
ENSG00000020633	ENSPTRG00000000351
ENSG00000020922	ENSPTRG00000004184
ENSG00000021300	ENSPTRG00000004047
ENSG00000021355	ENSPTRG00000017667
ENSG00000021461	ENSPTRG00000048873
ENSG00000021488	ENSPTRG00000010796
ENSG00000021574	ENSPTRG00000011812
ENSG00000021645	ENSPTRG00000006589
ENSG00000021762	ENSPTRG00000044094
ENSG00000021776	ENSPTRG00000006891
ENSG00000021826	ENSPTRG00000012881
ENSG00000021852	ENSPTRG00000000792
ENSG00000022267	ENSPTRG00000044682
ENSG00000022277	ENSPTRG00000013649
ENSG00000022355	ENSPTRG00000017499
ENSG00000022556	ENSPTRG00000011480
ENSG00000022556	ENSPTRG00000048921
ENSG00000022567	ENSPTRG00000020628
ENSG00000022840	ENSPTRG00000005541
ENSG00000022976	ENSPTRG00000006740
ENSG00000023041	ENSPTRG00000002947
ENSG00000023171	ENSPTRG00000004406
ENSG00000023191	ENSPTRG00000003118
ENSG00000023228	ENSPTRG00000012842
ENSG00000023287	ENSPTRG00000020246
ENSG00000023318	ENSPTRG00000021188
ENSG00000023330	ENSPTRG00000014991
ENSG00000023445	ENSPTRG00000004212
ENSG00000023516	ENSPTRG00000005824
ENSG00000023572	ENSPTRG00000001795
ENSG00000023608	ENSPTRG00000006420
ENSG00000023697	ENSPTRG00000004735
ENSG00000023734	ENSPTRG00000004734
ENSG00000023839	ENSPTRG00000049872
ENSG00000023892	ENSPTRG00000018081
ENSG00000023902	ENSPTRG00000001247
ENSG00000023909	ENSPTRG00000000973
ENSG00000024048	ENSPTRG00000018171
ENSG00000024422	ENSPTRG00000011214
ENSG00000024422	ENSPTRG00000046930
ENSG00000024526	ENSPTRG00000000847
ENSG00000024862	ENSPTRG00000018653
ENSG00000025039	ENSPTRG00000018420
ENSG00000025156	ENSPTRG00000018561
ENSG00000025293	ENSPTRG00000013452
ENSG00000025434	ENSPTRG00000003560
ENSG00000025708	ENSPTRG00000014547
ENSG00000025770	ENSPTRG00000014545
ENSG00000025772	ENSPTRG00000013532
ENSG00000025796	ENSPTRG00000018470
ENSG00000025800	ENSPTRG00000000471
ENSG00000026025	ENSPTRG00000002328
ENSG00000026103	ENSPTRG00000002730
ENSG00000026297	ENSPTRG00000018796
ENSG00000026508	ENSPTRG00000003501
ENSG00000026559	ENSPTRG00000013627
ENSG00000026652	ENSPTRG00000018779
ENSG00000026751	ENSPTRG00000001558
ENSG00000026950	ENSPTRG00000017830
ENSG00000027001	ENSPTRG00000005705
ENSG00000027075	ENSPTRG00000006418
ENSG00000027644	ENSPTRG00000001477
ENSG00000027697	ENSPTRG00000018642
ENSG00000027847	ENSPTRG00000017592
ENSG00000027869	ENSPTRG00000001476
ENSG00000028116	ENSPTRG00000011941
ENSG00000028137	ENSPTRG00000000164
ENSG00000028203	ENSPTRG00000005312
ENSG00000028277	ENSPTRG00000011045
ENSG00000028310	ENSPTRG00000016688
ENSG00000028528	ENSPTRG00000007154
ENSG00000028839	ENSPTRG00000018624
ENSG00000029153	ENSPTRG00000004788
ENSG00000029363	ENSPTRG00000018635
ENSG00000029364	ENSPTRG00000006483
ENSG00000029534	ENSPTRG00000020198
ENSG00000029559	ENSPTRG00000016263
ENSG00000029639	ENSPTRG00000018730
ENSG00000029725	ENSPTRG00000008628
ENSG00000030066	ENSPTRG00000003577
ENSG00000030110	ENSPTRG00000018053
ENSG00000030304	ENSPTRG00000021248
ENSG00000030419	ENSPTRG00000048797
ENSG00000030582	ENSPTRG00000009273
ENSG00000031003	ENSPTRG00000017277
ENSG00000031081	ENSPTRG00000015252
ENSG00000031691	ENSPTRG00000018257
ENSG00000031698	ENSPTRG00000001043
ENSG00000031823	ENSPTRG00000010351
ENSG00000032219	ENSPTRG00000006393
ENSG00000032389	ENSPTRG00000011621
ENSG00000032444	ENSPTRG00000010393
ENSG00000032742	ENSPTRG00000005685
ENSG00000033011	ENSPTRG00000007737
ENSG00000033030	ENSPTRG00000005579
ENSG00000033050	ENSPTRG00000019880
ENSG00000033050	ENSPTRG00000048152
ENSG00000033100	ENSPTRG00000019881
ENSG00000033100	ENSPTRG00000049375
ENSG00000033122	ENSPTRG00000000848
ENSG00000033170	ENSPTRG00000006454
ENSG00000033178	ENSPTRG00000016099
ENSG00000033327	ENSPTRG00000004115
ENSG00000033627	ENSPTRG00000009202
ENSG00000033800	ENSPTRG00000007210
ENSG00000033867	ENSPTRG00000014704
ENSG00000034053	ENSPTRG00000006842
ENSG00000034152	ENSPTRG00000042570
ENSG00000034152	ENSPTRG00000052693
ENSG00000034239	ENSPTRG00000020233
ENSG00000034510	ENSPTRG00000030440
ENSG00000034533	ENSPTRG00000015391
ENSG00000034677	ENSPTRG00000020472
ENSG00000034693	ENSPTRG00000018670
ENSG00000034713	ENSPTRG00000008362
ENSG00000034971	ENSPTRG00000001679
ENSG00000035115	ENSPTRG00000011604
ENSG00000035141	ENSPTRG00000052467
ENSG00000035403	ENSPTRG00000002647
ENSG00000035499	ENSPTRG00000016902
ENSG00000035664	ENSPTRG00000007152
ENSG00000035681	ENSPTRG00000020279
ENSG00000035687	ENSPTRG00000002178
ENSG00000035720	ENSPTRG00000016098
ENSG00000035862	ENSPTRG00000040748
ENSG00000035928	ENSPTRG00000015991
ENSG00000036054	ENSPTRG00000015160
ENSG00000036257	ENSPTRG00000012986
ENSG00000036448	ENSPTRG00000019944
ENSG00000036473	ENSPTRG00000021799
ENSG00000036473	ENSPTRG00000051070
ENSG00000036530	ENSPTRG00000006713
ENSG00000036549	ENSPTRG00000000881
ENSG00000036565	ENSPTRG00000020039
ENSG00000036672	ENSPTRG00000004384
ENSG00000036828	ENSPTRG00000015289
ENSG00000037042	ENSPTRG00000009213
ENSG00000037241	ENSPTRG00000043990
ENSG00000037280	ENSPTRG00000017639
ENSG00000037474	ENSPTRG00000016715
ENSG00000037637	ENSPTRG00000000225
ENSG00000037749	ENSPTRG00000017443
ENSG00000037757	ENSPTRG00000010563
ENSG00000037897	ENSPTRG00000005150
ENSG00000037965	ENSPTRG00000005030
ENSG00000038002	ENSPTRG00000016618
ENSG00000038210	ENSPTRG00000015960
ENSG00000038219	ENSPTRG00000015922
ENSG00000038274	ENSPTRG00000017504
ENSG00000038295	ENSPTRG00000016577
ENSG00000038358	ENSPTRG00000008249
ENSG00000038382	ENSPTRG00000016735
ENSG00000038427	ENSPTRG00000017055
ENSG00000038532	ENSPTRG00000007763
ENSG00000038945	ENSPTRG00000020013
ENSG00000039068	ENSPTRG00000008270
ENSG00000039123	ENSPTRG00000016878
ENSG00000039139	ENSPTRG00000016734
ENSG00000039319	ENSPTRG00000017038
ENSG00000039523	ENSPTRG00000008233
ENSG00000039537	ENSPTRG00000016826
ENSG00000039560	ENSPTRG00000016781
ENSG00000039600	ENSPTRG00000017471
ENSG00000039650	ENSPTRG00000011323
ENSG00000039987	ENSPTRG00000010538
ENSG00000040199	ENSPTRG00000008326
ENSG00000040275	ENSPTRG00000017512
ENSG00000040341	ENSPTRG00000047797
ENSG00000040487	ENSPTRG00000000266
ENSG00000040531	ENSPTRG00000008572
ENSG00000040608	ENSPTRG00000014079
ENSG00000040633	ENSPTRG00000008666
ENSG00000040731	ENSPTRG00000016758
ENSG00000040933	ENSPTRG00000012266
ENSG00000041353	ENSPTRG00000010038
ENSG00000041357	ENSPTRG00000007345
ENSG00000041515	ENSPTRG00000024071
ENSG00000041802	ENSPTRG00000015760
ENSG00000041880	ENSPTRG00000014981
ENSG00000041982	ENSPTRG00000021294
ENSG00000041988	ENSPTRG00000000093
ENSG00000042062	ENSPTRG00000013619
ENSG00000042088	ENSPTRG00000006621
ENSG00000042286	ENSPTRG00000002582
ENSG00000042317	ENSPTRG00000006606
ENSG00000042429	ENSPTRG00000004178
ENSG00000042445	ENSPTRG00000012130
ENSG00000042493	ENSPTRG00000012132
ENSG00000042753	ENSPTRG00000011197
ENSG00000042781	ENSPTRG00000001984
ENSG00000042813	ENSPTRG00000019183
ENSG00000042832	ENSPTRG00000020599
ENSG00000042980	ENSPTRG00000020084
ENSG00000043039	ENSPTRG00000004474
ENSG00000043093	ENSPTRG00000015661
ENSG00000043143	ENSPTRG00000017242
ENSG00000043355	ENSPTRG00000006000
ENSG00000043462	ENSPTRG00000017517
ENSG00000043514	ENSPTRG00000000579
ENSG00000043591	ENSPTRG00000002956
ENSG00000044012	ENSPTRG00000000604
ENSG00000044090	ENSPTRG00000018185
ENSG00000044115	ENSPTRG00000017291
ENSG00000044446	ENSPTRG00000021715
ENSG00000044459	ENSPTRG00000020791
ENSG00000044524	ENSPTRG00000015127
ENSG00000044574	ENSPTRG00000000563
ENSG00000046604	ENSPTRG00000009948
ENSG00000046647	ENSPTRG00000048272
ENSG00000046651	ENSPTRG00000021675
ENSG00000046653	ENSPTRG00000021676
ENSG00000046774	ENSPTRG00000028182
ENSG00000046889	ENSPTRG00000020324
ENSG00000047056	ENSPTRG00000002240
ENSG00000047188	ENSPTRG00000017143
ENSG00000047230	ENSPTRG00000021698
ENSG00000047230	ENSPTRG00000045235
ENSG00000047249	ENSPTRG00000020249
ENSG00000047315	ENSPTRG00000016089
ENSG00000047346	ENSPTRG00000007089
ENSG00000047365	ENSPTRG00000015973
ENSG00000047410	ENSPTRG00000001783
ENSG00000047457	ENSPTRG00000015513
ENSG00000047578	ENSPTRG00000007917
ENSG00000047579	ENSPTRG00000047928
ENSG00000047597	ENSPTRG00000050517
ENSG00000047617	ENSPTRG00000004565
ENSG00000047621	ENSPTRG00000004553
ENSG00000047634	ENSPTRG00000021706
ENSG00000047644	ENSPTRG00000021653
ENSG00000047648	ENSPTRG00000021658
ENSG00000047662	ENSPTRG00000015940
ENSG00000047849	ENSPTRG00000014878
ENSG00000047932	ENSPTRG00000018546
ENSG00000047936	ENSPTRG00000018544
ENSG00000048028	ENSPTRG00000004299
ENSG00000048052	ENSPTRG00000018959
ENSG00000048140	ENSPTRG00000017568
ENSG00000048162	ENSPTRG00000017560
ENSG00000048342	ENSPTRG00000015926
ENSG00000048392	ENSPTRG00000020481
ENSG00000048405	ENSPTRG00000019649
