ENSG00000000003	ENSPPYG00000020538
ENSG00000005020	ENSPPYG00000017710
ENSG00000005022	ENSPPYG00000020669
ENSG00000005059	ENSPPYG00000037615
ENSG00000005073	ENSPPYG00000017698
ENSG00000005100	ENSPPYG00000007871
ENSG00000005102	ENSPPYG00000008355
ENSG00000005108	ENSPPYG00000017778
ENSG00000005156	ENSPPYG00000008176
ENSG00000005175	ENSPPYG00000004441
ENSG00000005187	ENSPPYG00000007161
ENSG00000005189	ENSPPYG00000007163
ENSG00000005194	ENSPPYG00000007388
ENSG00000005206	ENSPPYG00000009349
ENSG00000005238	ENSPPYG00000019101
ENSG00000005243	ENSPPYG00000008889
ENSG00000005249	ENSPPYG00000017897
ENSG00000005302	ENSPPYG00000020123
ENSG00000005339	ENSPPYG00000007051
ENSG00000005379	ENSPPYG00000008234
ENSG00000005381	ENSPPYG00000008235
ENSG00000005421	ENSPPYG00000017804
ENSG00000005436	ENSPPYG00000012254
ENSG00000005448	ENSPPYG00000012278
ENSG00000005469	ENSPPYG00000017846
ENSG00000005471	ENSPPYG00000017845
ENSG00000005483	ENSPPYG00000017888
ENSG00000005486	ENSPPYG00000017475
ENSG00000005513	ENSPPYG00000006937
ENSG00000005700	ENSPPYG00000016799
ENSG00000005801	ENSPPYG00000002946
ENSG00000005810	ENSPPYG00000029658
ENSG00000005812	ENSPPYG00000005425
ENSG00000005844	ENSPPYG00000007275
ENSG00000005882	ENSPPYG00000008932
ENSG00000005884	ENSPPYG00000008931
ENSG00000005889	ENSPPYG00000020195
ENSG00000005893	ENSPPYG00000020685
ENSG00000005961	ENSPPYG00000008330
ENSG00000005981	ENSPPYG00000017801
ENSG00000006007	ENSPPYG00000007148
ENSG00000006015	ENSPPYG00000009747
ENSG00000006016	ENSPPYG00000009748
ENSG00000006025	ENSPPYG00000008880
ENSG00000006042	ENSPPYG00000008166
ENSG00000006047	ENSPPYG00000034206
ENSG00000006059	ENSPPYG00000033957
ENSG00000006062	ENSPPYG00000008306
ENSG00000006071	ENSPPYG00000004122
ENSG00000006116	ENSPPYG00000007200
ENSG00000006118	ENSPPYG00000003200
ENSG00000006125	ENSPPYG00000008188
ENSG00000006128	ENSPPYG00000017791
ENSG00000006194	ENSPPYG00000007038
ENSG00000006210	ENSPPYG00000007386
ENSG00000006282	ENSPPYG00000008278
ENSG00000006283	ENSPPYG00000008277
ENSG00000006377	ENSPPYG00000017794
ENSG00000006432	ENSPPYG00000005956
ENSG00000006451	ENSPPYG00000017619
ENSG00000006453	ENSPPYG00000017363
ENSG00000006459	ENSPPYG00000018054
ENSG00000006468	ENSPPYG00000017772
ENSG00000006530	ENSPPYG00000018064
ENSG00000006534	ENSPPYG00000002977
ENSG00000006555	ENSPPYG00000001310
ENSG00000006576	ENSPPYG00000017867
ENSG00000006606	ENSPPYG00000017477
ENSG00000006607	ENSPPYG00000013354
ENSG00000006611	ENSPPYG00000003451
ENSG00000006625	ENSPPYG00000017676
ENSG00000006634	ENSPPYG00000017840
ENSG00000006638	ENSPPYG00000009381
ENSG00000006652	ENSPPYG00000029715
ENSG00000006659	ENSPPYG00000032111
ENSG00000006695	ENSPPYG00000008000
ENSG00000006704	ENSPPYG00000017485
ENSG00000006712	ENSPPYG00000009964
ENSG00000006715	ENSPPYG00000017621
ENSG00000006740	ENSPPYG00000007996
ENSG00000006744	ENSPPYG00000007997
ENSG00000006747	ENSPPYG00000017773
ENSG00000006756	ENSPPYG00000020093
ENSG00000006757	ENSPPYG00000020108
ENSG00000006788	ENSPPYG00000007979
ENSG00000006831	ENSPPYG00000004142
ENSG00000006837	ENSPPYG00000015785
ENSG00000007001	ENSPPYG00000012866
ENSG00000007038	ENSPPYG00000007719
ENSG00000007047	ENSPPYG00000010113
ENSG00000007062	ENSPPYG00000014620
ENSG00000007080	ENSPPYG00000009727
ENSG00000007129	ENSPPYG00000010020
ENSG00000007168	ENSPPYG00000007796
ENSG00000007171	ENSPPYG00000008080
ENSG00000007174	ENSPPYG00000007991
ENSG00000007202	ENSPPYG00000008103
ENSG00000007216	ENSPPYG00000008095
ENSG00000007237	ENSPPYG00000007977
ENSG00000007255	ENSPPYG00000010109
ENSG00000007264	ENSPPYG00000009388
ENSG00000007306	ENSPPYG00000010022
ENSG00000007312	ENSPPYG00000008536
ENSG00000007314	ENSPPYG00000008537
ENSG00000007341	ENSPPYG00000001022
ENSG00000007350	ENSPPYG00000020870
ENSG00000007372	ENSPPYG00000003386
ENSG00000007376	ENSPPYG00000030932
ENSG00000007376	ENSPPYG00000041052
ENSG00000007392	ENSPPYG00000006901
ENSG00000007402	ENSPPYG00000013839
ENSG00000007520	ENSPPYG00000034811
ENSG00000007541	ENSPPYG00000006913
ENSG00000007545	ENSPPYG00000006958
ENSG00000007866	ENSPPYG00000016530
ENSG00000007908	ENSPPYG00000000528
ENSG00000007923	ENSPPYG00000001934
ENSG00000007933	ENSPPYG00000000518
ENSG00000007944	ENSPPYG00000016252
ENSG00000007952	ENSPPYG00000020542
ENSG00000007968	ENSPPYG00000001739
ENSG00000008018	ENSPPYG00000017191
ENSG00000008018	ENSPPYG00000025883
ENSG00000008056	ENSPPYG00000020296
ENSG00000008083	ENSPPYG00000016250
ENSG00000008086	ENSPPYG00000020166
ENSG00000008118	ENSPPYG00000000259
ENSG00000008128	ENSPPYG00000001996
ENSG00000008130	ENSPPYG00000001994
ENSG00000008196	ENSPPYG00000034593
ENSG00000008197	ENSPPYG00000016699
ENSG00000008226	ENSPPYG00000014013
ENSG00000008256	ENSPPYG00000017346
ENSG00000008277	ENSPPYG00000017839
ENSG00000008282	ENSPPYG00000041789
ENSG00000008283	ENSPPYG00000008522
ENSG00000008294	ENSPPYG00000008269
ENSG00000008300	ENSPPYG00000036651
ENSG00000008311	ENSPPYG00000017950
ENSG00000008323	ENSPPYG00000004182
ENSG00000008324	ENSPPYG00000013979
ENSG00000008382	ENSPPYG00000009404
ENSG00000008394	ENSPPYG00000004337
ENSG00000008405	ENSPPYG00000004911
ENSG00000008438	ENSPPYG00000010141
ENSG00000008441	ENSPPYG00000009620
ENSG00000008513	ENSPPYG00000018896
ENSG00000008516	ENSPPYG00000007030
ENSG00000008517	ENSPPYG00000007716
ENSG00000008517	ENSPPYG00000031093
ENSG00000008710	ENSPPYG00000006987
ENSG00000008735	ENSPPYG00000011996
ENSG00000008838	ENSPPYG00000008470
ENSG00000008853	ENSPPYG00000018430
ENSG00000008869	ENSPPYG00000012495
ENSG00000008952	ENSPPYG00000014285
ENSG00000008988	ENSPPYG00000037731
ENSG00000009307	ENSPPYG00000000996
ENSG00000009335	ENSPPYG00000018227
ENSG00000009413	ENSPPYG00000016927
ENSG00000009694	ENSPPYG00000020699
ENSG00000009709	ENSPPYG00000001801
ENSG00000009724	ENSPPYG00000001893
ENSG00000009765	ENSPPYG00000017103
ENSG00000009780	ENSPPYG00000001656
ENSG00000009790	ENSPPYG00000040196
ENSG00000009830	ENSPPYG00000006020
ENSG00000009844	ENSPPYG00000017055
ENSG00000009950	ENSPPYG00000017501
ENSG00000009954	ENSPPYG00000017503
ENSG00000010017	ENSPPYG00000016245
ENSG00000010030	ENSPPYG00000016544
ENSG00000010072	ENSPPYG00000036706
ENSG00000010165	ENSPPYG00000000509
ENSG00000010219	ENSPPYG00000004169
ENSG00000010244	ENSPPYG00000008161
ENSG00000010256	ENSPPYG00000013898
ENSG00000010270	ENSPPYG00000017627
ENSG00000010278	ENSPPYG00000004181
ENSG00000010282	ENSPPYG00000013976
ENSG00000010292	ENSPPYG00000004188
ENSG00000010295	ENSPPYG00000004190
ENSG00000010310	ENSPPYG00000010128
ENSG00000010318	ENSPPYG00000013808
ENSG00000010319	ENSPPYG00000013807
ENSG00000010322	ENSPPYG00000013805
ENSG00000010327	ENSPPYG00000013804
ENSG00000010361	ENSPPYG00000010263
ENSG00000010379	ENSPPYG00000038090
ENSG00000010404	ENSPPYG00000020802
ENSG00000010438	ENSPPYG00000019131
ENSG00000010539	ENSPPYG00000007036
ENSG00000010610	ENSPPYG00000004202
ENSG00000010626	ENSPPYG00000004209
ENSG00000010671	ENSPPYG00000020552
ENSG00000010704	ENSPPYG00000016305
ENSG00000010803	ENSPPYG00000001478
ENSG00000010810	ENSPPYG00000016930
ENSG00000010818	ENSPPYG00000017057
ENSG00000010932	ENSPPYG00000000515
ENSG00000011007	ENSPPYG00000001735
ENSG00000011009	ENSPPYG00000001733
ENSG00000011021	ENSPPYG00000001879
ENSG00000011028	ENSPPYG00000008519
ENSG00000011083	ENSPPYG00000015945
ENSG00000011105	ENSPPYG00000004157
ENSG00000011114	ENSPPYG00000006087
ENSG00000011132	ENSPPYG00000009385
ENSG00000011143	ENSPPYG00000008864
ENSG00000011198	ENSPPYG00000013964
ENSG00000011201	ENSPPYG00000020111
ENSG00000011243	ENSPPYG00000029684
ENSG00000011258	ENSPPYG00000036590
ENSG00000011260	ENSPPYG00000008266
ENSG00000011275	ENSPPYG00000017338
ENSG00000011295	ENSPPYG00000008012
ENSG00000011304	ENSPPYG00000009289
ENSG00000011332	ENSPPYG00000009924
ENSG00000011347	ENSPPYG00000003184
ENSG00000011376	ENSPPYG00000013946
ENSG00000011405	ENSPPYG00000003455
ENSG00000011422	ENSPPYG00000010072
ENSG00000011426	ENSPPYG00000017635
ENSG00000011451	ENSPPYG00000009672
ENSG00000011454	ENSPPYG00000019586
ENSG00000011465	ENSPPYG00000004826
ENSG00000011478	ENSPPYG00000010130
ENSG00000011485	ENSPPYG00000010148
ENSG00000011523	ENSPPYG00000012361
ENSG00000011566	ENSPPYG00000012472
ENSG00000011590	ENSPPYG00000009876
ENSG00000011600	ENSPPYG00000009889
ENSG00000011638	ENSPPYG00000040481
ENSG00000011677	ENSPPYG00000020828
ENSG00000012048	ENSPPYG00000008363
ENSG00000012061	ENSPPYG00000010120
ENSG00000012124	ENSPPYG00000009858
ENSG00000012171	ENSPPYG00000013850
ENSG00000012174	ENSPPYG00000020181
ENSG00000012211	ENSPPYG00000020337
ENSG00000012223	ENSPPYG00000013935
ENSG00000012232	ENSPPYG00000018478
ENSG00000012504	ENSPPYG00000004867
ENSG00000012660	ENSPPYG00000016720
ENSG00000012779	ENSPPYG00000002228
ENSG00000012822	ENSPPYG00000004587
ENSG00000012963	ENSPPYG00000006086
ENSG00000012983	ENSPPYG00000005803
ENSG00000013016	ENSPPYG00000012514
ENSG00000013275	ENSPPYG00000009982
ENSG00000013288	ENSPPYG00000014586
ENSG00000013293	ENSPPYG00000014293
ENSG00000013297	ENSPPYG00000014291
ENSG00000013306	ENSPPYG00000008333
ENSG00000013364	ENSPPYG00000007257
ENSG00000013374	ENSPPYG00000018192
ENSG00000013375	ENSPPYG00000016804
ENSG00000013392	ENSPPYG00000040790
ENSG00000013441	ENSPPYG00000013061
ENSG00000013503	ENSPPYG00000004905
ENSG00000013523	ENSPPYG00000006014
ENSG00000013561	ENSPPYG00000015894
ENSG00000013563	ENSPPYG00000020875
ENSG00000013573	ENSPPYG00000004252
ENSG00000013583	ENSPPYG00000004312
ENSG00000013588	ENSPPYG00000037079
ENSG00000013619	ENSPPYG00000020814
ENSG00000013725	ENSPPYG00000003198
ENSG00000013810	ENSPPYG00000014531
ENSG00000014123	ENSPPYG00000016854
ENSG00000014138	ENSPPYG00000003071
ENSG00000014164	ENSPPYG00000018935
ENSG00000014216	ENSPPYG00000003073
ENSG00000014257	ENSPPYG00000014104
ENSG00000014641	ENSPPYG00000012373
ENSG00000014824	ENSPPYG00000014696
ENSG00000014914	ENSPPYG00000000911
ENSG00000014919	ENSPPYG00000002556
ENSG00000015133	ENSPPYG00000006066
ENSG00000015153	ENSPPYG00000033457
ENSG00000015171	ENSPPYG00000002032
ENSG00000015285	ENSPPYG00000020316
ENSG00000015413	ENSPPYG00000007666
ENSG00000015475	ENSPPYG00000011562
ENSG00000015479	ENSPPYG00000015835
ENSG00000015520	ENSPPYG00000017592
ENSG00000015532	ENSPPYG00000008287
ENSG00000015568	ENSPPYG00000012138
ENSG00000015568	ENSPPYG00000012709
ENSG00000015592	ENSPPYG00000018460
ENSG00000015676	ENSPPYG00000017593
ENSG00000016082	ENSPPYG00000015449
ENSG00000016391	ENSPPYG00000013786
ENSG00000016402	ENSPPYG00000017037
ENSG00000016490	ENSPPYG00000001187
ENSG00000016602	ENSPPYG00000001186
ENSG00000016864	ENSPPYG00000013799
ENSG00000017260	ENSPPYG00000014097
ENSG00000017427	ENSPPYG00000004882
ENSG00000017483	ENSPPYG00000020308
ENSG00000017797	ENSPPYG00000009010
ENSG00000018189	ENSPPYG00000014811
ENSG00000018236	ENSPPYG00000004417
ENSG00000018280	ENSPPYG00000013172
ENSG00000018408	ENSPPYG00000014199
ENSG00000018510	ENSPPYG00000012969
ENSG00000018610	ENSPPYG00000020670
ENSG00000018625	ENSPPYG00000000641
ENSG00000018699	ENSPPYG00000012503
ENSG00000018869	ENSPPYG00000010446
ENSG00000019102	ENSPPYG00000004019
ENSG00000019144	ENSPPYG00000003940
ENSG00000019169	ENSPPYG00000012792
ENSG00000019186	ENSPPYG00000011143
ENSG00000019485	ENSPPYG00000036125
ENSG00000019505	ENSPPYG00000033572
ENSG00000019549	ENSPPYG00000018578
ENSG00000019582	ENSPPYG00000015949
ENSG00000019991	ENSPPYG00000017860
ENSG00000019995	ENSPPYG00000002745
ENSG00000020129	ENSPPYG00000001557
ENSG00000020181	ENSPPYG00000018513
ENSG00000020256	ENSPPYG00000011139
ENSG00000020426	ENSPPYG00000005876
ENSG00000020577	ENSPPYG00000005832
ENSG00000020633	ENSPPYG00000001714
ENSG00000020922	ENSPPYG00000037469
ENSG00000021300	ENSPPYG00000003662
ENSG00000021355	ENSPPYG00000016172
ENSG00000021461	ENSPPYG00000036752
ENSG00000021488	ENSPPYG00000009822
ENSG00000021574	ENSPPYG00000035520
ENSG00000021645	ENSPPYG00000006036
ENSG00000021762	ENSPPYG00000002942
ENSG00000021776	ENSPPYG00000006319
ENSG00000021826	ENSPPYG00000013137
ENSG00000021852	ENSPPYG00000001300
ENSG00000022267	ENSPPYG00000020761
ENSG00000022277	ENSPPYG00000011151
ENSG00000022355	ENSPPYG00000016014
ENSG00000022556	ENSPPYG00000010396
ENSG00000022567	ENSPPYG00000018911
ENSG00000022840	ENSPPYG00000005035
ENSG00000022976	ENSPPYG00000006157
ENSG00000023041	ENSPPYG00000002658
ENSG00000023171	ENSPPYG00000004126
ENSG00000023191	ENSPPYG00000002867
ENSG00000023228	ENSPPYG00000013106
ENSG00000023287	ENSPPYG00000018584
ENSG00000023318	ENSPPYG00000019444
ENSG00000023330	ENSPPYG00000013815
ENSG00000023445	ENSPPYG00000034604
ENSG00000023516	ENSPPYG00000005319
ENSG00000023572	ENSPPYG00000000396
ENSG00000023608	ENSPPYG00000005882
ENSG00000023697	ENSPPYG00000004335
ENSG00000023734	ENSPPYG00000004334
ENSG00000023839	ENSPPYG00000002558
ENSG00000023892	ENSPPYG00000016526
ENSG00000023902	ENSPPYG00000034117
ENSG00000023909	ENSPPYG00000032580
ENSG00000024048	ENSPPYG00000016616
ENSG00000024422	ENSPPYG00000010180
ENSG00000024526	ENSPPYG00000001248
ENSG00000024862	ENSPPYG00000017047
ENSG00000025039	ENSPPYG00000016841
ENSG00000025156	ENSPPYG00000016976
ENSG00000025293	ENSPPYG00000010964
ENSG00000025423	ENSPPYG00000004673
ENSG00000025434	ENSPPYG00000003309
ENSG00000025708	ENSPPYG00000011992
ENSG00000025770	ENSPPYG00000011990
ENSG00000025772	ENSPPYG00000011044
ENSG00000025796	ENSPPYG00000016891
ENSG00000025800	ENSPPYG00000001603
ENSG00000026025	ENSPPYG00000037241
ENSG00000026103	ENSPPYG00000002460
ENSG00000026297	ENSPPYG00000037542
ENSG00000026508	ENSPPYG00000032340
ENSG00000026559	ENSPPYG00000011133
ENSG00000026652	ENSPPYG00000017156
ENSG00000026751	ENSPPYG00000000626
ENSG00000027001	ENSPPYG00000005207
ENSG00000027075	ENSPPYG00000005880
ENSG00000027644	ENSPPYG00000000699
ENSG00000027697	ENSPPYG00000017039
ENSG00000027847	ENSPPYG00000038147
ENSG00000027869	ENSPPYG00000000701
ENSG00000028116	ENSPPYG00000033504
ENSG00000028137	ENSPPYG00000001870
ENSG00000028203	ENSPPYG00000004843
ENSG00000028277	ENSPPYG00000010036
ENSG00000028310	ENSPPYG00000015308
ENSG00000028528	ENSPPYG00000006545
ENSG00000028839	ENSPPYG00000017023
ENSG00000029153	ENSPPYG00000004380
ENSG00000029363	ENSPPYG00000017032
ENSG00000029364	ENSPPYG00000005940
ENSG00000029534	ENSPPYG00000018546
ENSG00000029559	ENSPPYG00000014918
ENSG00000029639	ENSPPYG00000017123
ENSG00000029725	ENSPPYG00000007866
ENSG00000029993	ENSPPYG00000020818
ENSG00000030066	ENSPPYG00000003293
ENSG00000030110	ENSPPYG00000016502
ENSG00000030110	ENSPPYG00000029935
ENSG00000030304	ENSPPYG00000019494
ENSG00000030419	ENSPPYG00000013139
ENSG00000030582	ENSPPYG00000008332
ENSG00000031003	ENSPPYG00000015818
ENSG00000031081	ENSPPYG00000013518
ENSG00000031691	ENSPPYG00000016686
ENSG00000031698	ENSPPYG00000001080
ENSG00000031823	ENSPPYG00000009444
ENSG00000032219	ENSPPYG00000005857
ENSG00000032389	ENSPPYG00000012685
ENSG00000032444	ENSPPYG00000009477
ENSG00000032742	ENSPPYG00000005193
ENSG00000033030	ENSPPYG00000005068
ENSG00000033050	ENSPPYG00000029382
ENSG00000033100	ENSPPYG00000018190
ENSG00000033122	ENSPPYG00000001247
ENSG00000033170	ENSPPYG00000005913
ENSG00000033178	ENSPPYG00000014733
ENSG00000033327	ENSPPYG00000003723
ENSG00000033627	ENSPPYG00000008391
ENSG00000033800	ENSPPYG00000006589
ENSG00000033867	ENSPPYG00000014056
ENSG00000034053	ENSPPYG00000006280
ENSG00000034152	ENSPPYG00000008073
ENSG00000034239	ENSPPYG00000018577
ENSG00000034510	ENSPPYG00000030623
ENSG00000034533	ENSPPYG00000014098
ENSG00000034677	ENSPPYG00000039695
ENSG00000034693	ENSPPYG00000017061
ENSG00000034713	ENSPPYG00000007565
ENSG00000034971	ENSPPYG00000000512
ENSG00000035115	ENSPPYG00000012695
ENSG00000035141	ENSPPYG00000012323
ENSG00000035403	ENSPPYG00000002323
ENSG00000035499	ENSPPYG00000015488
ENSG00000035664	ENSPPYG00000006543
ENSG00000035681	ENSPPYG00000018613
ENSG00000035687	ENSPPYG00000000057
ENSG00000035720	ENSPPYG00000014735
ENSG00000035862	ENSPPYG00000008697
ENSG00000035928	ENSPPYG00000014673
ENSG00000036054	ENSPPYG00000013605
ENSG00000036257	ENSPPYG00000013231
ENSG00000036448	ENSPPYG00000018312
ENSG00000036473	ENSPPYG00000020246
ENSG00000036530	ENSPPYG00000006136
ENSG00000036549	ENSPPYG00000001223
ENSG00000036565	ENSPPYG00000018402
ENSG00000036672	ENSPPYG00000003966
ENSG00000036828	ENSPPYG00000013489
ENSG00000037042	ENSPPYG00000008384
ENSG00000037241	ENSPPYG00000025929
ENSG00000037280	ENSPPYG00000016139
ENSG00000037474	ENSPPYG00000015332
ENSG00000037637	ENSPPYG00000001822
ENSG00000037749	ENSPPYG00000015972
ENSG00000037757	ENSPPYG00000010570
ENSG00000037897	ENSPPYG00000004706
ENSG00000037965	ENSPPYG00000004593
ENSG00000038002	ENSPPYG00000015220
ENSG00000038210	ENSPPYG00000014646
ENSG00000038219	ENSPPYG00000014612
ENSG00000038274	ENSPPYG00000016020
ENSG00000038295	ENSPPYG00000015181
ENSG00000038358	ENSPPYG00000007473
ENSG00000038382	ENSPPYG00000015350
ENSG00000038427	ENSPPYG00000015613
ENSG00000038532	ENSPPYG00000007098
ENSG00000038945	ENSPPYG00000018381
ENSG00000039068	ENSPPYG00000007494
ENSG00000039123	ENSPPYG00000015469
ENSG00000039139	ENSPPYG00000015349
ENSG00000039319	ENSPPYG00000015597
ENSG00000039537	ENSPPYG00000015426
ENSG00000039560	ENSPPYG00000015387
ENSG00000039600	ENSPPYG00000031159
ENSG00000039650	ENSPPYG00000010266
ENSG00000039987	ENSPPYG00000009605
ENSG00000040199	ENSPPYG00000007526
ENSG00000040275	ENSPPYG00000016026
ENSG00000040341	ENSPPYG00000018674
ENSG00000040487	ENSPPYG00000035208
ENSG00000040531	ENSPPYG00000007817
ENSG00000040608	ENSPPYG00000011597
ENSG00000040633	ENSPPYG00000007900
ENSG00000040731	ENSPPYG00000015367
ENSG00000040933	ENSPPYG00000012084
ENSG00000041353	ENSPPYG00000009173
ENSG00000041357	ENSPPYG00000006699
ENSG00000041515	ENSPPYG00000005495
ENSG00000041802	ENSPPYG00000014425
ENSG00000041880	ENSPPYG00000013824
ENSG00000041982	ENSPPYG00000019537
ENSG00000041988	ENSPPYG00000001935
ENSG00000042062	ENSPPYG00000011127
ENSG00000042088	ENSPPYG00000006058
ENSG00000042286	ENSPPYG00000002376
ENSG00000042317	ENSPPYG00000006051
ENSG00000042429	ENSPPYG00000003776
ENSG00000042445	ENSPPYG00000012233
ENSG00000042493	ENSPPYG00000012231
ENSG00000042753	ENSPPYG00000010163
ENSG00000042781	ENSPPYG00000000218
ENSG00000042813	ENSPPYG00000017563
ENSG00000042832	ENSPPYG00000018892
ENSG00000042980	ENSPPYG00000018445
ENSG00000043039	ENSPPYG00000004058
ENSG00000043093	ENSPPYG00000029837
ENSG00000043143	ENSPPYG00000015788
ENSG00000043355	ENSPPYG00000005472
ENSG00000043462	ENSPPYG00000016030
ENSG00000043514	ENSPPYG00000001499
ENSG00000043591	ENSPPYG00000002670
ENSG00000044012	ENSPPYG00000001474
ENSG00000044090	ENSPPYG00000016629
ENSG00000044115	ENSPPYG00000015832
ENSG00000044446	ENSPPYG00000020169
ENSG00000044459	ENSPPYG00000019201
ENSG00000044524	ENSPPYG00000013646
ENSG00000044574	ENSPPYG00000019609
ENSG00000046604	ENSPPYG00000009089
ENSG00000046647	ENSPPYG00000020136
ENSG00000046651	ENSPPYG00000020134
ENSG00000046653	ENSPPYG00000040776
ENSG00000046774	ENSPPYG00000020790
ENSG00000046889	ENSPPYG00000018652
ENSG00000047056	ENSPPYG00000002040
ENSG00000047188	ENSPPYG00000015691
ENSG00000047230	ENSPPYG00000020154
ENSG00000047249	ENSPPYG00000018587
ENSG00000047315	ENSPPYG00000014743
ENSG00000047346	ENSPPYG00000006488
ENSG00000047365	ENSPPYG00000032983
ENSG00000047410	ENSPPYG00000000411
ENSG00000047457	ENSPPYG00000014195
ENSG00000047578	ENSPPYG00000007216
ENSG00000047579	ENSPPYG00000016251
ENSG00000047597	ENSPPYG00000036239
ENSG00000047617	ENSPPYG00000004179
ENSG00000047621	ENSPPYG00000004167
ENSG00000047634	ENSPPYG00000020162
ENSG00000047644	ENSPPYG00000020117
ENSG00000047648	ENSPPYG00000020121
ENSG00000047662	ENSPPYG00000014628
ENSG00000047849	ENSPPYG00000013913
ENSG00000047932	ENSPPYG00000016964
ENSG00000047936	ENSPPYG00000016962
ENSG00000048028	ENSPPYG00000003888
ENSG00000048052	ENSPPYG00000017755
ENSG00000048140	ENSPPYG00000016078
ENSG00000048162	ENSPPYG00000016070
ENSG00000048342	ENSPPYG00000014615
ENSG00000048392	ENSPPYG00000018796
ENSG00000048405	ENSPPYG00000017967
ENSG00000048462	ENSPPYG00000007115
ENSG00000048471	ENSPPYG00000007117
ENSG00000048540	ENSPPYG00000004338
ENSG00000048544	ENSPPYG00000016613
ENSG00000048545	ENSPPYG00000016611
ENSG00000048649	ENSPPYG00000003713
ENSG00000048707	ENSPPYG00000001869
ENSG00000048740	ENSPPYG00000002083
ENSG00000048828	ENSPPYG00000019391
ENSG00000048991	ENSPPYG00000012815
ENSG00000049089	ENSPPYG00000001491
ENSG00000049130	ENSPPYG00000036228
ENSG00000049167	ENSPPYG00000015490
ENSG00000049192	ENSPPYG00000015507
ENSG00000049239	ENSPPYG00000001914
ENSG00000049246	ENSPPYG00000001930
ENSG00000049247	ENSPPYG00000001929
ENSG00000049249	ENSPPYG00000001926
ENSG00000049283	ENSPPYG00000008279
ENSG00000049323	ENSPPYG00000012502
ENSG00000049449	ENSPPYG00000003385
ENSG00000049541	ENSPPYG00000017487
ENSG00000049618	ENSPPYG00000017126
ENSG00000049656	ENSPPYG00000015316
ENSG00000049759	ENSPPYG00000009186
ENSG00000049768	ENSPPYG00000020341
ENSG00000049769	ENSPPYG00000020342
ENSG00000049860	ENSPPYG00000029577
ENSG00000049883	ENSPPYG00000015543
ENSG00000050030	ENSPPYG00000020482
ENSG00000050130	ENSPPYG00000005865
ENSG00000050165	ENSPPYG00000003478
ENSG00000050327	ENSPPYG00000018137
